"BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE"
"475437,507602,569983,N,N,am,eng,""Francisco de Osuna and the spirit of the letter, by Laura Calvert."",""Calvert, Laura."",""Francisco de Osuna and the spirit of the letter,"",,,(OCoLC)ocm00812718,,""[University of North Carolina] Department of Romance Languages, 1973."",@@@@,aastx,BV5080.O82 C3,BV 5080            O 82   C 3,,,1,1,31811003349456,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,16-Mar-15"
"491181,472149,527885,N,N,am,und,ZEN AND ZEN CLASSICS.,""BLYTH, REGINALD HORACE."",ZEN AND ZEN CLASSICS.,,,se 00014173,,,,aastx,BL1493 .B55,BL 1493            B 55,v.5,,1,1,31811010350885,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,05-Mar-14"
"467023,498930,560319,N,N,am,eng,Witchcraft in Old and New England / George Lyman Kittredge.,""Kittredge, George Lyman, 1860-1941."",Witchcraft in Old and New England /,,,(OCoLC)ocm07725761,c1929,""Harvard University Press,"",,aastx,BF1581 .K58 1929,BF 1581            K 58   1929,,,1,1,31811012662733,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,13-Oct-04,,06-Nov-17"
"492006,473020,820228,N,N,am,und,TRANSCENDENTAL EPILOGUE,""CAMERON, KENNETH WALTER, 1908-, ED."",TRANSCENDENTAL EPILOGUE,,,se 00003881,,,,aastx,B905 .C3,B  905            C 3,v.2,,1,1,31811013822013,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,26-Mar-12,,21-Oct-14"
"491188,472157,527896,N,N,am,und,PATROLOGY.,""QUASTEN, JOHANNES, 1900-"",PATROLOGY.,,,se 00015470,,,,aastx,BR67 .Q31962,BR   67            Q 31962,v.1,,1,1,31811010358748,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,27-Feb-14"
"473007,505095,567186,N,N,am,eng,""Mass, its doctrine, its history; the story of the Mass in pen and picture."",""Cabrol, Fernand, 1855-1937."",""Mass, its doctrine, its history; the story of the Mass in pen and picture."",,,(OCoLC)ocm13781160,[n.d.],A. Mame & Sons,,aastx,BX2230 .C253,BX 2230            C 253,,,1,1,31811003363051,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,30-Apr-13"
"491762,472766,528910,N,N,am,eng,REVELATION D'HERMES TRISMEGISTE,""FESTUGIERE, ANDRE MARIE JEAN, 1898-"",REVELATION D'HERMES TRISMEGISTE,,,se 00011156,,,,aastx,BF1598.H6 F4,BF 1598            H 6   F 4,v.1,,1,1,31811010279811,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,28-Nov-18,,14-Jan-13"
"479512,511740,574369,N,N,am,eng,Age of fable.,""Bulfinch, Thomas, 1796-1867."",Age of fable.,,,(OCoLC)ocm21317361,[n.d.],Dolphin Books,,aastx,BL310 .B821915,BL  310            B 821915,,,1,1,31811010284589,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,30-Mar-17"
"491760,472764,528906,N,N,am,und,PHILOSOPHICAL NOTEBOOK OF JOHN HENRY NEWMAN.,""Newman, John Henry, 1801-1890."",PHILOSOPHICAL NOTEBOOK OF JOHN HENRY NEWMAN.,,,se 00004900,,,,aastx,B1649.N473 P48,B 1649            N 473   P 48,v.1,,1,1,31811003229096,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,16-Oct-17"
"491782,472786,528978,N,N,am,eng,SPICILEGIUM BECCENSE.,,SPICILEGIUM BECCENSE.,,,se 00019791,,,,aastx,BX4700.A58 S7,BX 4700            A 58   S 7,v.1,,1,1,31811003367169,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,03-May-17"
"491756,472759,528865,N,N,am,und,TREATISE OF HUMAN NATURE,""HUME, DAVID, 1711-1776."",TREATISE OF HUMAN NATURE,,,se 00004591,,,,aastx,B 1485 1962,B 1485 1962,v.1,,1,1,31811003253211,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,27-Mar-12,,01-Sep-18"
"413540,446130,497398,N,N,am,und,TIME AND FREE WILL,""Bergson, Henri, 1859-1941."",TIME AND FREE WILL,,,se 00042319,,,,aastx,BF622 .B5,BF  622            B 5,,,2,1,31811010252180,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,23-Oct-18"
"491758,472761,528882,N,N,am,und,COLLECTED WORKS.,""MILL, JOHN STUART, 1806-1873."",COLLECTED WORKS.,,,se 00004731,,,,aastx,B1602 .A21963,B 1602            A 21963,v.10,,1,1,31811003226712,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Oct-13"
"491877,472883,529280,N,N,am,eng,LOGIK DER NEUZEIT.,""RISSE, WILHELM."",LOGIK DER NEUZEIT.,,,se 03060278,,,,aastx,BC38 .R5,BC   38            R 5,v.1,,1,1,31811010272303,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,25-Jul-16"
"491753,472750,528848,N,N,am,und,COLLECTED PAPERS,""PEIRCE, CHARLES S. (CHARLES SANDERS), 1839-1914."",COLLECTED PAPERS,,,se 00004158,,,,aastx,B945 .P41960,B  945            P 41960,v.1-2,,1,1,31811010172313,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Dec-13"
"491774,472778,528969,N,N,am,und,HISTORY OF CHRISTIAN THOUGHT,""NEVE, JUERGEN LUDWIG, 1865-1943."",HISTORY OF CHRISTIAN THOUGHT,,,se 00017539,,,,aastx,BT21 .N482,BT   21            N 482,v.1,,1,1,31811003322826,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,23-Oct-14"
"94606,102194,114574,N,N,am,eng,""Babylonian Talmud ... Translated into English with notes, glossary, and indices under the editorship of I. Epstein."",,Babylonian Talmud ...,,,(OCoLC)ocm00513996,1935-48.,""Soncino Press,"",,aastx,BM499.5 .E571935,BM  4995           E 571935,v.3:1,,1,1,31811010331836,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,05-Mar-13"
"94606,102194,114570,N,N,am,eng,""Babylonian Talmud ... Translated into English with notes, glossary, and indices under the editorship of I. Epstein."",,Babylonian Talmud ...,,,(OCoLC)ocm00513996,1935-48.,""Soncino Press,"",,aastx,BM499.5 .E571935,BM  4995           E 571935,v.2:1,,1,1,31811010331828,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,05-Mar-13"
"94606,102194,114566,N,N,am,eng,""Babylonian Talmud ... Translated into English with notes, glossary, and indices under the editorship of I. Epstein."",,Babylonian Talmud ...,,,(OCoLC)ocm00513996,1935-48.,""Soncino Press,"",,aastx,BM499.5 .E571935,BM  4995           E 571935,INDEX,,1,1,31811010331059,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,19-Sep-13"
"492041,473054,529750,N,N,am,und,SOREN KIERKEGAARD'S JOURNALS AND PAPERS.,""KIERKEGAARD, SOREN, 1813-1855."",SOREN KIERKEGAARD'S JOURNALS AND PAPERS.,,,se 03060099,,,,aastx,B4372.E5 P3,B 4372            E 5   P 3,v.4,,1,1,31811010273251,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,14-Jul-17"
"491877,472883,529281,N,N,am,eng,LOGIK DER NEUZEIT.,""RISSE, WILHELM."",LOGIK DER NEUZEIT.,,,se 03060278,,,,aastx,BC38 .R5,BC   38            R 5,v.2,,1,1,31811010272329,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,25-Jul-16"
"492006,473020,529683,N,N,am,und,TRANSCENDENTAL EPILOGUE,""CAMERON, KENNETH WALTER, 1908-, ED."",TRANSCENDENTAL EPILOGUE,,,se 00003881,,,,aastx,B905 .C3,B  905            C 3,v.1,,1,1,31811003215707,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,26-Mar-12,,21-Oct-14"
"94606,102194,114567,N,N,am,eng,""Babylonian Talmud ... Translated into English with notes, glossary, and indices under the editorship of I. Epstein."",,Babylonian Talmud ...,,,(OCoLC)ocm00513996,1935-48.,""Soncino Press,"",,aastx,BM499.5 .E571935,BM  4995           E 571935,v.1:1,,1,1,31811010331778,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,20-Mar-18"
"491748,472744,528839,N,N,am,und,PLATO,""FRIEDLANDER, PAUL, 1882-"",PLATO,,,se 00003028,,,,aastx,B395 .F75231964,B  395            F 75231964,v.1,,1,1,31811010066861,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,17-Feb-17"
"181101,198071,222677,N,N,am,eng,Myth and ritual in Christianity / Alan W. Watts.,""Watts, Alan, 1915-1973."",Myth and ritual in Christianity /,,0807013757,(OCoLC)ocm01343939,[1968],Beacon Press,,aastx,BR135 .W31953R,BR  135            W 31953 R,,,1,1,31811010768136,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Oct-14"
"491744,472737,528823,N,N,am,und,HISTORY OF GREEK PHILOSOPHY.,""GUTHRIE, WILLIAM KEITH CHAMBERS, 1906-"",HISTORY OF GREEK PHILOSOPHY.,,,se 00002771,,,,aastx,B171 .G83,B  171            G 83,v.5,,1,1,31811003192005,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,04-Apr-18"
"491806,472812,529038,N,N,am,und,BOOK OF THE POPES.,LIBER PONTIFICALIS.,BOOK OF THE POPES.,,,se 01014126,,,,aastx,BX950.E6 L612,BX  950            E 6   L 612,v.1,,1,1,31811010200874,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,25-Feb-16"
"490897,471855,527515,N,N,am,und,MINUTES OF THE VIENNA PSYCHOANALYTIC SOCIETY,WIENER PSYCHOANALYTISCHE VEREINIGUNG.,MINUTES OF THE VIENNA PSYCHOANALYTIC SOCIETY,,,se 00008519,,,,aastx,BF173.A2 W5,BF  173            A 2   W 5,v.2,,1,1,31811010205683,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,21-May-14"
"491753,472751,528851,N,N,am,und,COLLECTED PAPERS,""PEIRCE, CHARLES S. (CHARLES SANDERS), 1839-1914."",COLLECTED PAPERS,,,se 00004158,,,,aastx,B945 .P41960,B  945            P 41960,v.5-6,,2,1,31811010235292,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,12-Nov-13"
"491181,472149,527881,N,N,am,und,ZEN AND ZEN CLASSICS.,""BLYTH, REGINALD HORACE."",ZEN AND ZEN CLASSICS.,,,se 00014173,,,,aastx,BL1493 .B55,BL 1493            B 55,v.1,,1,1,31811010145186,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,18-Aug-14"
"492041,473054,529749,N,N,am,und,SOREN KIERKEGAARD'S JOURNALS AND PAPERS.,""KIERKEGAARD, SOREN, 1813-1855."",SOREN KIERKEGAARD'S JOURNALS AND PAPERS.,,,se 03060099,,,,aastx,B4372.E5 P3,B 4372            E 5   P 3,v.3,,1,1,31811010273244,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,14-Jul-17"
"510288,547264,803255,N,N,am,eng,Ae¿¿tiana : the method and intellectual context of a doxographer / by J. Mansfeld and D.T. Runia.,""Mansfeld, Jaap."",Ae¿¿tiana : the method and intellectual context of a doxographer /,,9004105808 (v. 1 : cloth : alk. paper),(OCoLC)ocm35364774,1997-,""E.J. Brill,"",9999,aastx,B535.A254 M36 1997,B  535            A 254   M 36   1997,v.3,,1,1,31811013704369,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,30-Mar-10,,13-Jan-15"
"510288,547264,783466,N,N,am,eng,Ae¿¿tiana : the method and intellectual context of a doxographer / by J. Mansfeld and D.T. Runia.,""Mansfeld, Jaap."",Ae¿¿tiana : the method and intellectual context of a doxographer /,,9004105808 (v. 1 : cloth : alk. paper),(OCoLC)ocm35364774,1997-,""E.J. Brill,"",9999,aastx,B535.A254 M36 1997,B  535            A 254   M 36   1997,v.2:1,,1,1,31811012335173,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,30-Mar-10,,20-Feb-15"
"510288,547264,783467,N,N,am,eng,Ae¿¿tiana : the method and intellectual context of a doxographer / by J. Mansfeld and D.T. Runia.,""Mansfeld, Jaap."",Ae¿¿tiana : the method and intellectual context of a doxographer /,,9004105808 (v. 1 : cloth : alk. paper),(OCoLC)ocm35364774,1997-,""E.J. Brill,"",9999,aastx,B535.A254 M36 1997,B  535            A 254   M 36   1997,v.2:2,,1,1,31811012335181,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,30-Mar-10,,20-Feb-15"
"835747,888301,851573,N,N,am,eng,Companion to religion in late antiquity / edited by Josef Lossl and Nicholas J. Baker-Brian.,,Companion to religion in late antiquity /,,9781118968109,(OCoLC)on1022976947,2018.,""John Wiley & Sons, Inc.,"",2018,aastx,BL48 .C573 2018,BL   48            C 573   2018,,,1,1,31811014048015,aastx,Book Collection,BOOK 16/8/4 WK,,,,20-Jul-18,,,"
"834016,886589,850751,N,N,am,eng,Jean Baudrillard : the rhetoric of symbolic exchange / Brian Gogan.,""Gogan, Brian, 1982 February 26-"",Jean Baudrillard : the rhetoric of symbolic exchange /,,9780809336258,(OCoLC)ocn967502327,2017.,""Southern Illinois University Press,"",2017,aastx,B2430.B33974 G64 2017,B 2430            B 33974   G 64   2017,,,1,1,31811014041887,aastx,Book Collection,BOOK 16/8/4 WK,,,,19-Feb-18,,,"
"834799,887365,851230,N,N,am,eng,""Fear factor : how one emotion connects altruists, psychopaths, and everyone in-between / Abigail Marsh."",""Marsh, Abigail,"",""Fear factor : how one emotion connects altruists, psychopaths, and everyone in-between /"",First edition.,9781541697195,(OCoLC)on1008574078,[2017],""Basic Books,"",2017,aastx,BF575.F2 M374 2017,BF  575            F 2   M 374   2017,,,1,1,31811014058470,aastx,Book Collection,BOOK 16/8/4 WK,,,,27-Apr-18,14-Jun-18,20749,"
"832487,884916,850271,N,N,am,eng,Edmund Geste and his books : reconstructing the library of a Cambridge don and Elizabethan bishop / David G. Selwyn.,""Selwyn, David G., 1938-"",Edmund Geste and his books : reconstructing the library of a Cambridge don and Elizabethan bishop /,,9780948170249,(OCoLC)ocn994155694,2017.,""The Bibliographical Society,"",2017,aastx,BX5199 .G4 2017,BX 5199            G 4   2017,,,1,1,31811014031967,aastx,Book Collection,BOOK 16/8/4 WK,,,,17-Nov-17,,,"
"831927,884393,850151,N,N,am,eng,Levinas's rhetorical demand : the unending obligation of communication ethics / Ronald C. Arnett ; foreword by Algis Mickunas.,""Arnett, Ronald C., 1952-"",Levinas's rhetorical demand : the unending obligation of communication ethics /,,9780809335695,(OCoLC)ocn951158149,[2017],""Southern Illinois University Press,"",2017,aastx,B2430.L484 A76 2017,B 2430            L 484   A 76   2017,,,1,1,31811014041031,aastx,Book Collection,BOOK 16/8/4 WK,,,,10-Oct-17,17-Oct-17,,"
"815749,868351,849062,N,N,am,eng,You're the only one I can tell : inside the language of women's friendships / Deborah Tannen.,""Tannen, Deborah,"",You're the only one I can tell : inside the language of women's friendships /,First edition,9781101885802,(OCoLC)ocn982493778,[2017],""Ballantine Books, an imprint of Random House,"",2017,aastx,BF575 .T36 2017,BF  575            T 36   2017,,,1,1,31811014031511,aastx,Book Collection,BOOK 16/8/4 WK,,,,01-May-17,18-May-17,20247,30-Aug-17"
"815436,868042,848927,N,N,am,eng,Lifespan development : lives in context / Tara L. Kuther Western Connecticut State University.,""Kuther, Tara L.,"",Lifespan development : lives in context /,,9781483368856,(OCoLC)ocn927141316,[2017],""SAGE,"",2017,aastx,BF713 .K87 2017,BF  713            K 87   2017,,,1,1,31811014031231,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-17,05-May-17,20054,05-Sep-18"
"829862,882434,849214,N,N,am,eng,Grit : the power of passion and perseverance / Angela Duckworth.,""Duckworth, Angela,"",Grit : the power of passion and perseverance /,First Scribner hardcover edition.,9781501111105,(OCoLC)ocn928889169,2016.,""Scribner,"",2016,aastx,BF637.S8 D693 2016,BF  637            S 8   D 693   2016,,,1,1,31811014031687,aastx,Book Collection,BOOK 16/8/4 WK,,,,22-May-17,01-Jun-17,20431,08-Sep-18"
"815129,882110,849381,N,N,am,eng,Mind-body problem / Jonathan Westphal.,""Westphal, Jonathan, 1951-"",Mind-body problem /,,9780262529563,(OCoLC)ocn946160452,[2016],""The MIT Press,"",2016,aastx,BF161 .W455 2016,BF  161            W 455   2016,,,1,1,31811014066686,aastx,Book Collection,BOOK 16/8/4 WK,,,,17-Apr-17,27-Jun-17,19836,"
"807820,860340,844083,N,N,am,eng,Masculinities in the making : from the local to the global / James W. Messerschmidt.,""Messerschmidt, James W.,"",Masculinities in the making : from the local to the global /,,9781442232938,(OCoLC)ocn907272047,[2016],""Rowman & Littlefield,"",2016,aastx,BF692.5 .M47 2016,BF  6925           M 47   2016,,,1,1,31811013452985,aastx,Book Collection,BOOK 16/8/4 WK,,,,10-May-16,27-May-16,18785,"
"834801,887367,851227,N,N,am,eng,Adolescence and body image : from development to preventing dissatisfaction / Lina A. Ricciardelli and Zali Yager.,""Ricciardelli, Lina A. (Lina Angela),"",Adolescence and body image : from development to preventing dissatisfaction /,,9781848721982 (hardback),(OCoLC)ocn910936366,[2016].,""Routledge, Taylor & Francis Group,"",2016,aastx,BF724.3.B55 R53 2016,BF  7243           B 55   R 53   2016,,,1,1,31811014058494,aastx,Book Collection,BOOK 16/8/4 WK,,,,27-Apr-18,14-Jun-18,20751,"
"807821,860341,844048,N,N,am,eng,On purpose : how we create the meaning of life / Paul Froese.,""Froese, Paul"",On purpose : how we create the meaning of life /,,9780199948901 (hardback),(OCoLC)ocn908554283,[2016],""Oxford University Press,"",2016,aastx,BL60 .F796 2016,BL   60            F 796   2016,,,1,1,31811014020727,aastx,Book Collection,BOOK 16/8/4 WK,,,,10-May-16,26-May-16,18786,"
"807776,860302,843928,N,N,am,eng,""Culture of engagement : law, religion, and morality / Cathleen Kaveny."",""Kaveny, Cathleen,"",""Culture of engagement : law, religion, and morality /"",,9781626163027,(OCoLC)ocn920671935,[2016],""Georgetown University Press,"",2016,aastx,BJ1249 .K38 2016,BJ 1249            K 38   2016,,,1,1,31811014020263,aastx,Book Collection,BOOK 16/8/4 WK,,,,06-May-16,19-May-16,18756,"
"814975,867616,848879,N,N,am,eng,Oxford handbook of Hume / edited by Paul Russell.,,Oxford handbook of Hume /,,9780199742844,(OCoLC)ocn945025189,[2016],""Oxford University Press,"",2016,aastx,B1498 .O94 2016,B 1498            O 94   2016,,,1,1,31811014030991,aastx,Book Collection,BOOK 16/8/4 WK,,,,10-Apr-17,03-May-17,19708,"
"812974,865588,846882,N,N,am,eng,""Book of joy : lasting happiness in a changing world / His Holiness the Dalai Lama and Archbishop Desmond Tutu, with Douglas Abrams."",""Bstan-¿¿dzin-rgya-mtsho, Dalai Lama XIV, 1935-"",Book of joy : lasting happiness in a changing world /,,9780399185045,(OCoLC)ocn944933649,[2016],""Avery, an imprint of Penguin Random House,"",2016,aastx,BL65.H36 B78 2016,BL   65            H 36   B 78   2016,,,1,1,31811014036895,aastx,Book Collection,BOOK 16/8/4 WK,,,,27-Jan-17,09-Jan-18,,01-Aug-18"
"811820,864102,845458,N,N,am,eng,""Urban monk : Eastern wisdom and modern hacks to stop time and find success, happiness, and peace / Pedram Shojai, OMD."",""Shojai, Pedram,"",""Urban monk : Eastern wisdom and modern hacks to stop time and find success, happiness, and peace /"",,1623366151,(OCoLC)ocn908176027,[2016],""Rodale,"",2016,aastx,BF151 .S54 2016,BF  151            S 54   2016,,,1,1,31811014033703,aastx,Book Collection,BOOK 16/8/4 WK,,,,26-Oct-16,08-Jan-18,,03-May-18"
"834807,887373,851363,N,N,am,eng,Art and science of personality development / Dan P. McAdams.,""McAdams, Dan P.,"",Art and science of personality development /,,9781462519958,(OCoLC)ocn889168889,[2015],""The Guilford Press,"",2015,aastx,BF698 .M347 2015,BF  698            M 347   2015,,,1,1,31811014073430,aastx,Book Collection,BOOK 16/8/4 WK,,,,27-Apr-18,26-Jun-18,20756,"
"806970,859539,843540,N,N,am,eng,Happiness : a philosopher's guide / Fre¿¿de¿¿ric Lenoir ; translated by Andrew Brown.,""Lenoir, Fre¿¿de¿¿ric,"",Happiness : a philosopher's guide /,,9781612194394,(OCoLC)ocn889523170,[2015],""Melville House,"",2015,aastx,B187.H3 L4613 2015,B  187            H 3   L 4613   2015,,,1,1,31811014018391,aastx,Book Collection,BOOK 16/8/4 WK,,,,05-Apr-16,12-Apr-16,18501,07-Dec-18"
"803697,856465,841440,N,N,am,eng,Companion to ancient aesthetics / edited by Pierre Destre¿¿e and Penelope Murray.,,Companion to ancient aesthetics /,,9781444337648 (cloth),(OCoLC)ocn905450144,2015.,""Wiley Blackwell,"",2015,aastx,BH90 .C66 2015,BH   90            C 66   2015,,,1,1,31811013991297,aastx,Book Collection,BOOK 16/8/4 WK,,,,26-Aug-15,,,08-May-17"
"812145,864378,845602,N,N,am,eng,""Easy breezy prosperity : the five foundations for a more joyful, abundant life / Emmanuel Dagher."",""Dagher, Emmanuel,"",""Easy breezy prosperity : the five foundations for a more joyful, abundant life /"",,9781623366216,(OCoLC)ocn928750852,[2015],""Rodale,"",2015,aastx,BJ1611.2 .D34 2015,BJ 16112           D 34   2015,,,1,1,31811014033999,aastx,Book Collection,BOOK 16/8/4 WK,,,,17-Nov-16,09-Jan-18,,03-May-18"
"834756,887327,851266,N,N,am,eng,Road home : a contemporary exploration of the Buddhist path / Ethan Nichtern ; foreword by Sharon Salzberg.,""Nichtern, Ethan,"",Road home : a contemporary exploration of the Buddhist path /,First edition.,9780374251932,(OCoLC)ocn900608769,2015.,""North Point Press,"",2015,aastx,BQ5612 .N53 2015,BQ 5612            N 53   2015,,,1,1,31811014058518,aastx,Book Collection,BOOK 16/8/4 WK,,,,25-Apr-18,19-Jun-18,20710,"
"829809,882381,849415,N,N,am,eng,""Nonviolent communication : a language of life / Marshall B. Rosenberg, PhD."",""Rosenberg, Marshall B.,"",Nonviolent communication : a language of life /,3rd edition.,9781892005281,(OCoLC)ocn906936579,2015.,""PuddleDancer Press,"",2015,aastx,BF637 .R645 2015,BF  637            R 645   2015,,,1,1,31811014066894,aastx,Book Collection,BOOK 16/8/4 WK,,,,19-May-17,05-Jul-17,20386,09-Oct-18"
