BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
516519,553817,625054,N,N,am,eng,New connections for scholars : the changing missions of a learned society in an era of digital networks / Douglas C. Bennett.,"Bennett, Douglas C., 1946-",New connections for scholars : the changing missions of a learned society in an era of digital networks /,,,(OCoLC)ocm36810455,c1997.,"American Council of Learned Societies,",1997,aastx,AS2.5 .N491997,AS    25           N 491997,,,1,1,"=""31811010972092""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
276615,302558,339112,N,N,am,eng,Towards world community. Edited by John Nef.,,Towards world community.,,,(OCoLC)ocm00027675,1968.,"W. Junk,",1968,aastx,AS2.5 .T63,AS    25           T 63,,,1,1,"=""31811010369109""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
441479,527041,591908,N,N,am,eng,"Tradition and enlightenment in the Tuscan academies, 1690-1800 / by Eric W. Cochrane.","Cochrane, Eric W.","Tradition and enlightenment in the Tuscan academies, 1690-1800 /",,,(OCoLC)ocm14621544,1961.,"University of Chicago Press,",1961,aastx,AS216.T8 C61961,AS  216            T 8   C 61961,,,1,1,"=""31811010748005""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/26/2006
298092,325324,363457,N,N,am,ita,Gerusalemme liberata nella Inghilterra di Spenser / Alberto Castelli.,"Castelli, Alberto, 1907-",Gerusalemme liberata nella Inghilterra di Spenser /,,,(OCoLC)ocm08173222,1936.,"Vita e pensiero,",1980,aastx,AS222 .M63SER.4VOL.201936A,AS  222            M 63 SER .4 VOL .201936 A,,,1,1,"=""31811010747981""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
249123,272990,307008,N,N,am,ita,Giordano Bruno.,"Cicuttini, Luigi.",Giordano Bruno.,,,(OCoLC)ocm03794358,[1950],Vita e pensiero,1950,aastx,AS222.M63 N.S.VOL.31,AS  222            M 63   N S VOL .31,,,1,1,"=""31811010747999""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
246252,269862,303429,N,N,am,eng,Knowledge explosion : liberation and limitation / edited by Francis Sweeney.,Boston College Centennial Colloquium (1963),Knowledge explosion : liberation and limitation /,,,(OCoLC)ocm01087192,1966.,"Farrar, Straus & Giroux,",1966,aastx,AS23 .B61963C,AS   23            B 61963 C,,,1,1,"=""31811010369349""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
422455,455474,508537,N,N,am,fre,Liste des socie¿¿te¿¿s savantes et litte¿¿raires de Belgique.,Belgium. Service des e¿¿changes internationaux.,Liste des socie¿¿te¿¿s savantes et litte¿¿raires de Belgique.,,,(OCoLC)ocm02689799,1960.,,1960,aastx,AS238 .A5,AS  238            A 5,,,1,1,"=""31811010747973""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
206984,227094,255601,N,N,am,eng,Confrontation and learned societies / Edited and with an introd. by John Voss [and] Paul L. Ward.,American Council of Learned Societies Devoted to Humanistic Studies. Conference of the Secretaries of Constituent Societies.,Confrontation and learned societies /,,0814787509,(OCoLC)ocm00126873,1970.,"New York University Press,",1970,aastx,AS24 .A65,AS   24            A 65,,,1,1,"=""31811010370420""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
350327,379553,422396,N,N,am,eng,Semantic construction of intuitionistic logic / by E. W. Beth.,"Beth, Evert Willem.",Semantic construction of intuitionistic logic /,,,(OCoLC)ocm02557617,1956.,"Noord-Hollandsche Uitg. Mij.,",1956,aastx,AS244.A51 N.R.DEEL19NO.11,AS  244            A 51   N R DEEL 19 NO .11,,,1,1,"=""31811010748047""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
428006,461209,514908,N,N,am,eng,HET HUIDIGE NEGERHOLLANDSCH,"JOSSELIN DE JONG, JAN PETRUS BENJAMIN DE, 1886-",HET HUIDIGE NEGERHOLLANDSCH,,,se 00001695,1926.,,1926,aastx,AS244.A52 N.R.DEEL26NO.1,AS  244            A 52   N R DEEL 26 NO .1,,,1,1,"=""31811010748039""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
488167,520760,584443,N,N,am,dut,"Encyclopaedie der Karai¿¿ben, behelzend taal, zeden en gewoonten dezer Indianen, door W. Ahlbrinck. Gei¿¿llustreerd door E. La Rose.","AHLBRINCK, W.","Encyclopaedie der Karai¿¿ben, behelzend taal, zeden en gewoonten dezer Indianen,",,,(OCoLC)ocm04839400,1931.,"Koninklijke Akademie van Wetenschappen,",1931,aastx,AS244.A52 N.S.VOL.27NO.1,AS  244            A 52   N S VOL .27 NO .1,,,1,1,"=""31811010748021""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
19493,21842,25497,N,N,am,eng,"American learned societies in transition: the impact of dissent and recession, by Harland G. Bloland and Sue M. Bloland.","Bloland, Harland G.","American learned societies in transition: the impact of dissent and recession,",,0070101078,(OCoLC)ocm00811067,[1974],McGraw-Hill,1974,aastx,AS25 .B57,AS   25            B 57,,,1,1,"=""31811010370537""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
